,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"     ""Затверджую""",,,,,,,
"     Декан факультету правничих наук                             Мелешевич А.А.",,,,,,,
,,,,,,,
"Розклад занять на осінній семестр 2013-14 н.р. ф-ту правничих наук 1р.н.",,,,,,,
,,,,,,,
"День","Час","Тижні","Дисципліна - викладач ","Група, вид зан.","Корпус, ауд.",,
,,,,,,,
"Пн.","08.30-09.50","2-15","Англійська мова- Буреніна Т.Г.","А48","6-3",,
,,"2-15","Англійська мова - Долинська О.Р.","А49","2-403",,
,,"2-15","Англійська мова - Жукорська Л.П.","А50","4-311",,
,,"2-15","Англійська мова - Духота О.В.","А51","3-408",,
,,"2-15","Англійська мова - Гриців Т.С.","А52","8-10",,
,,"1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - проф. Брюховецький В.С."," ",,,
,"10.00-11.20","1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - проф. Брюховецький В.С."," ",,,
,,"2-15","Загальна теорія права - ст.викл.Матвєєва Ю.І.",1,"4-317",,
,,"4,6,9,11,13,15","Політологія - ст. викл. Новічкова О.С.",2,"4-425",,
,,"3,5,7,10,12,14","Політологія - ст. викл. Новічкова О.С.",3,"4-425",,
,"11.40-13.00","2-15","Загальна теорія права - ст.викл.Матвєєва Ю.І.",2,"4-317",,
,,"2,3,4,5","Застосування принципів Болонського ",3,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,,"4,6,9,11,13,15","Політологія - ст. викл. Новічкова О.С.",1,"4-425",,
,"13.30-14.50","2-15","Загальна теорія права - ст.викл.Матвєєва Ю.І.",3,"4-317",,
,,"3-15","Історія України - доц. Тесленко І.А.",1,"4-319",,
,,"2,3,4,5","Застосування принципів Болонського ",2,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,,"1","Історія України - доц. Тесленко І.А.","Лекція","4-101",,
,"15.00-16.20","1-12","Історія України - доц. Тесленко І.А.","Лекція","4-101",,
"Вт.","08.30-09.50","1-14","Фізичне виховання",,"1 т. 4-101",,
,"10.00-11.20","2-14","Фізичне виховання",,,,
,"11.40-13.00","3-14","Українська мова - доц. Голосовська Г.Г.",2,"8-11",,
,,"2","Застосування принципів Болонського ",3,"4-314",,
,,,"процесу в НаУКМА - Корольова О.О.",,,,
,,"4","Застосування принципів Болонського ",3,"4-319",,
,,,"процесу в НаУКМА - Бондаренко Н.Б.",,,,
,"13.30-14.50","3-14","Українська мова - доц. Голосовська Г.Г.",1,"8-11",,
,,"2","Застосування принципів Болонського ",2,"4-100",,
,,,"процесу в НаУКМА - Корольова О.О.",,,,
,,"4","Застосування принципів Болонського ",2,"4-319",,
,,,"процесу в НаУКМА - Бондаренко Н.Б.",,,,
,"15.00-16.20","2-9","Політологія - проф. Якушик В.М.","Лекція","1-217",,
,"16.30-17.50","2-9","Політологія - проф. Якушик В.М.","Лекція","1-217",,
"Ср.","08.30-09.50","3,5,7","Історія держави і права України -",3,"4-319",,
,,"9-13","ст. викл.Курінний О.В.",,,,
,,"4-14","Історія держави і права ",2,"4-317",,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,
,"10.00-11.20","4-14","Історія держави і права ",3,"4-317",,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,
,,"2","Застосування принципів Болонського ",1,"4-101",,
,,,"процесу в НаУКМА - Корольова О.О.",,,,
,,"1-----","Українська мова - доц. Голосовська Г.Г.","Лекція","4-101",,
,"11.40-13.00","1-10","Історія держави і права України -","Лекція","4-101",,
,,,"доц. Журбелюк Г.В.",,,,
,,"15","Історія держави і права України -",1,"4-317",,
,,,"доц. Журбелюк Г.В.",,,,
,"13.30-14.50","1","Історія держави і права України -","Лекція","1-217",,
,,,"доц. Журбелюк Г.В.",,,,
,,"3,5,7","Історія держави і права України -",1,"4-317",,
,,"10,12,14","доц. Журбелюк Г.В.",,,,
,,"2,4,6,9,","Історія держави і права України -",2,"4-317",,
,,"11,13,15","доц. Журбелюк Г.В.",,,,
,,"3,5","Застосування принципів Болонського ",3,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,"15.00-16.20","3,5","Застосування принципів Болонського ",3,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,,"4,6","Застосування принципів Болонського ",2,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,"16.30-17.50","1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - проф. Брюховецький В.С."," ",,,
,,"4,6","Застосування принципів Болонського ",2,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
"Чт.","08.30-09.50","1-12","Історія держави і права ","Лекція","4-101",,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,
,"10.00-11.20","3-15","Історія України - ст. викл. Надтока О.О.",2,"4-319",,
,,"1----2","Юридична термінологія- доц.Артикуца Н.В.","Лекція","9-29",,
,,"4-14","Історія держави і права ",1,"4-317",,
,,,"зарубіжних країн- ст. викл. Шмарьова Т.О.",,,,
,,"5-15","Юридична термінологія- доц.Артикуца Н.В.",6,"9-29",,
,"11.40-13.00","3-15","Історія України - ст. викл. Надтока О.О.",3,"4-319",,
,,"1----2","Юридична термінологія- доц.Артикуца Н.В.","Лекція","9-29",,
,,"5-15","Юридична термінологія- доц.Артикуца Н.В.",1,"9-29",,
,"13.30-14.50","1-14","Загальна теорія права- доц. Цельєв О.В.","Лекція","4-101",,
,"15.00-16.20","всі","Фізичне виховання",,,,
"Пт.","08.30-09.50","1-14","Англійська мова- Буреніна Т.Г.","А48","6-3",,
,,"1-14","Англійська мова - Долинська О.Р.","А49","2-403",,
,,"1-14","Англійська мова - Жукорська Л.П.","А50","4-311",,
,,"1-14","Англійська мова - Духота О.В.","А51","3-408",,
,,"1-14","Англійська мова - Гриців Т.С.","А52","8-10",,
,"10.00-11.20","1, 2 ","Українська мова - доц. Голосовська Г.Г.","Лекція","4-100",,
,,"5-15","Юридична термінологія- доц. Артикуца Н.В.",2,"9-29",,
,"11.40-13.00","3-14","Українська мова - доц. Голосовська Г.Г.",5,"4-317",,
,,"1","Історія держави і права України -","Лекція","4-101",,
,,,"доц. Журбелюк Г.В.",,,,
,,"5-15","Юридична термінологія- доц.Артикуца Н.В.",3,"9-29",,
,,"2,3,4,5","Застосування принципів Болонського ",1,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,,"4","Історія держави і права України -",2,"4-321",,
,,,"доц. Журбелюк Г.В.",,,,
,"13.30-14.50","1,2","Загальна теорія права- доц. Цельєв О.В.","Лекція","1-217",,
,,"4","Історія держави і права України -",1,"4-319",,
,,,"доц. Журбелюк Г.В.",,,,
,,"3-14","Українська мова - доц. Голосовська Г.Г.",3,"8-11",,
,,"5-15","Юридична термінологія- доц.Артикуца Н.В.",4,"9-29",,
,"15.00-16.20","1,2","Історія України - доц. Тесленко І.А.","Лекція","4-101",,
,,"3-14","Українська мова - доц. Голосовська Г.Г.",4,"8---11",,
,,"3,5","Застосування принципів Болонського ",1,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
,,"4","Застосування принципів Болонського ",1,"4-319",,
,,,"процесу в НаУКМА - Бондаренко Н.Б.",,,,
,,"5-15","Юридична термінологія- доц. Артикуца Н.В.",5,"9-29",,
,"16.30-17.50","3,5","Застосування принципів Болонського ",1,"бібл.",,
,,,"процесу в НаУКМА - ст. викл. Ярошенко Т.О.",,,,
"Сб","10.00-11.20","1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - "," ",,,
,"11.40-13.00","1,11","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - "," ",,,
,"13.30-14.50","1","Застосування принципів Болонського ","Лекція","КМЦ",,
,,,"процесу в НаУКМА - "," ",,,
,,,,,,,
,"Провідний спеціаліст деканату",,,"Кучер В.П.",,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,"Історія держави і права зарубіжних",,,,
,,,,,,,
,,,,,,,
,,,,,,,
,"16.30-17.50",," країн- ст.викл. Шмарьова Т.О.",,,,
,,,,,,,
,,,,,,,
