"ПН","10:00-11:20","","Політологічна теорія держави","1","Трегуб О. І.","4-15"
"ПН","11:40-13:00","","Політологічна теорія держави","2","Трегуб О. І.","4-15"
"ПН","13:30-14:50","","Сучасні західні політичні теорії","1","Амельченко Н. А.","2-15"
"ПН","15:00-16:20","","Сучасні західні політичні теорії","2","Амельченко Н. А.","2-15"
"СР","10:00-11:20","","Політична географія","0","Кисельов С. С. ","1-11"
"СР","11:40-13:00","","Політична географія","1","Кисельов С. С. ","3-14"
"СР","11:40-13:00","","Сучасні західні політичні теорії","0","Амельченко Н. А.","1,2"
"СР","13:30-14:50","","Сучасні західні політичні теорії","0","Амельченко Н. А.","1-12"
"СР","15:00-16:20","","Французька політична думка ХІХст.","1","Голіченко Т. С.","1-15"
"СР","16:30-17:50","","Французька політична думка ХІХст.","2","Голіченко Т. С.","1-15"
"ЧТ","08:30-09:50","","Сучасні політичні ідеології","0","Новічкова О. С.","1-3"
"ЧТ","10:00-11:20","","Сучасні політичні ідеології","0","Новічкова О. С.","1-14"
"ЧТ","10:00-11:20","","Сучасні політичні ідеології","1","Новічкова О. С.","15"
"ЧТ","11:40-13:00","","Сучасні політичні ідеології","1","Новічкова О. С.","2-15"
"ЧТ","13:30-14:50","","Політологічна теорія держави","0","Дем’янчук О. П. ","1-14"
