"ПН","13:30-14:50","4-319","Методологія правознавства","0","Сущенко В. М","1-6"
"ПН","13:30-14:50","4-319","Методологія правознавства","1","Сущенко В. М","7-12"
"ПН","15:00-16:20","4-319","Методологія правознавства","2","Сущенко В. М","7-12"
"ВТ","10:00-11:20","8-4","Публічне мовлення для юристів","1","С. А. Хименко","1-14"
"ВТ","11:40-13:00","8-12","Теоретичні проблеми корпоративного права","0","Абрамов Я. ","1-6,7-12"
"ВТ","13:30-14:50","4-319","Цивільний захист","1","Сагайдак І. С. ","4-9"
"ВТ","15:00-16:20","4-100","Цивільний захист","0","Сагайдак І. С. ","1-3"
"ВТ","15:00-16:20","4-425","Науково-дослідний семінар","1","Сущенко В. М. ","5-14"
"ВТ","16:30-17:50","4-100","Охорона праці в галузі","0","Непийвода В. П. ","1-3"
"СР","08:30-09:50","9-8","Теорія правотворчості","0","Дзейко Ж. О. ","1-9"
"СР","08:30-09:50","9-8","Теорія правотворчості","1","Дзейко Ж. О. ","10-14"
"СР","10:00-11:20","8-12","Теорія правотворчості","2","Дзейко Ж. О. ","10"
"СР","10:00-11:20","9-8","Теорія правотворчості","2","Дзейко Ж. О. ","11-14"
"СР","10:00-11:20","4-317","  Науково-дослідний семінар","2","Козюбра М. І. ","5"
"СР","10:00-11:20","8-11","Правове регулювання інформаційних технологій","1","Смирнова Т. С. ","6-10"
"СР","11:40-13:00","8-11","Охорона праці в галузі","2","Непийвода В. П. ","6-11"
"СР","13:30-14:50","4-317","Правове регулювання інформаційних технологій","0","Смирнова Т. С. ","1-5"
"СР","13:30-14:50","8-11","Охорона праці в галузі","1","Непийвода В. П. ","6-11"
"СР","13:30-14:50","4-319","Правове регулювання інформаційних технологій","2","Смирнова Т. С. ","6-8,9,10"
"СР","15:00-16:20","4-319","Проблеми європейського права","0","ст. в. Климович О. В. ","3-6"
"СР","15:00-16:20","4-319","Проблеми європейського права","1","ст. в. Климович О. В. ","7-14"
"СР","16:30-17:50","4-319","Проблеми європейського права","0","ст. в. Климович О. В. ","4,5"
"ЧТ","10:00-11:20","8-4","Публічне мовлення для юристів","1","С. А. Хименко","1-14"
"ЧТ","11:40-13:00","4-319","  Науково-дослідний семінар","0","Козюбра М. І. ","1-5"
"ЧТ","11:40-13:00","4-319","  Науково-дослідний семінар","2","Козюбра М. І. ","6-14"
"ЧТ","13:30-14:50","9-8","Проблеми міжнародного контрактовогоправа","0","Логуш Л. В. ","1-7"
"ЧТ","13:30-14:50","9-8","Проблеми міжнародного контрактовогоправа","1","Логуш Л. В. ","8-14"
"ЧТ","15:00-16:20","4-314","Проблеми порівняльного конституційного права","0","Мелешевич А. А. ","1-7"
"ЧТ","15:00-16:20","4-314","Проблеми порівняльного конституційного права","1","Мелешевич А. А. ","8-14"
"ЧТ","16:30-17:50","4-314","Проблеми порівняльного конституційного права","2","Мелешевич А. А. ","8-14"
"ЧТ","16:30-17:50","4-319","Право на землю в підприємницькій діяльності","0","Поліводський О. А. ","1-6"
